GEOID10	STATEFP10	ALAND10	AWATER10	STATEFP	ALAND	AWATER	GEOID19
02270000100	02	44240705695	6711999401	02	44222017663	6693558019	02158000100
04019002701	04	1264486	0	04	1266169	0	04019002704
04019002903	04	2307270	45245	04	2314517	38007	04019002906
04019410503	04	12254868	0	04	12255062	0	04019004125
04019410501	04	15374185	0	04	15329412	0	04019004118
04019470500	04	18550762	0	04	18550992	0	04019005300
04019410502	04	59600868	0	04	59602784	0	04019004121
04019470400	04	3975916614	0	04	3974372984	0	04019005200
06037930401	06	1386360	4374	06	3005793	4374	06037137000
36085008900	36	0	100710	36	0	100710	
36053940101	36	2781162	0	36	2775435	0	36053030101
36065940000	36	5986679	0	36	5986679	0	36065024800
36053940102	36	6232905	0	36	6232906	0	36053030102
36053940403	36	8864532	10324	36	8864610	10324	36053030403
36053940300	36	14494965	13773	36	14494802	13771	36053030300
36053940103	36	48087425	211866	36	48107413	211866	36053030103
36053940700	36	77988507	209045	36	77906262	209054	36053030402
36053940200	36	79373263	46792	36	79435468	46792	36053030200
36065940200	36	95140628	28029	36	97970885	28029	36065024900
36053940401	36	102637557	296185	36	102623990	333250	36053030401
36065940100	36	179305040	945405	36	179357205	945413	36065024700
36053940600	36	290084070	498525	36	290019039	498525	36053030600
46113940500	46	417926426	609485	46	417784197	609468	46102940500
46113940900	46	1783663768	2561053	46	1783632903	2561049	46102940900
46113940800	46	3221579873	3955693	46	3220985061	3955638	46102940800
51515050100	51	17814175	61318	51	17743640	60824	51019050100
