GEOID,DAC_Designation,REDC,County,City_Town,NYC_Region,Urban_Rural,Tribal_Designation,Household_Low_Count_Flag,Population_Count,Household_Count,Percentile_Rank_Combined_Statewide,Percentile_Rank_Combined_NYC,Percentile_Rank_Combined_ROS,Combined_Score,Burden_Score_Percentile,Vulnerability_Score_Percentile,Burden_Score,Vulnerability_Score,Benzene_Concentration,Particulate_Matter_25,Traffic_Truck_Highways,Traffic_Number_Vehicles,Wastewater_Discharge,Housing_Vacancy_Rate,Industrial_Land_Use,Landfills,Oil_Storage,Municipal_Waste_Combustors,Power_Generation_Facilities,RMP_Sites,Remediation_Sites,Scrap_Metal_Processing,Agricultural_Land_Use,Coastal_Flooding_Storm_Risk,Days_Above_90_Degrees_2050,Drive_Time_Healthcare,Inland_Flooding_Risk,Low_Vegetative_Cover,Asian_Percent,Black_African_American_Percent,Redlining_Updated,Latino_Percent,English_Proficiency,Native_Indigenous,LMI_80_AMI,LMI_Poverty_Federal,Population_No_College,Household_Single_Parent,Unemployment_Rate,Asthma_ED_Rate,COPD_ED_Rate,Households_Disabled,Low_Birth_Weight,MI_Hospitalization_Rate,Health_Insurance_Rate,Age_Over_65,Premature_Deaths,Internet_Access,Home_Energy_Affordability,Homes_Built_Before_1960,Mobile_Homes,Rent_Percent_Income,Renter_Percent
36001000100,Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,2035,800,99.3095,0,99.8137,124.5279805,99.5037,86.1268,57.63635983,66.89162063,48.31622177,30.26180169,90.52093973,92.32865227,62.8980322,79.88102826,60.13268999,0,0,0,0,99.31944731,78.70919881,0,44.78744939,85.40892193,51.16042345,62.64543784,94.99294781,52.0316275,43.70831481,93.14950452,69.21081882,56.0718057,47.74509804,95.55369128,84.51234826,83.00188403,90.29288703,95.0193216,88.32807571,87.38700862,80.07147362,86.73640167,89.56285296,33.84550621,69.98320739,25.80037665,8.787050662,63.00966793,58.4972792,44.85355649,0,62.33050847,77.36599665
36001000200,Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,4793,2213,89.8096,0,95.7154,105.9702434,70.7403,89.7677,36.37110104,69.59914235,49.73305955,30.59163059,70.45965271,63.23621882,63.36314848,93.73273847,80.94089264,0,0,0,0,97.6696226,0,0,2.98582996,15.14869888,51.16042345,31.1288018,24.61212976,54.20601801,42.68563806,96.14390349,100,24.83632524,20.75980392,93.12080537,97.11176224,91.91961482,70.0209205,98.86217261,88.79074658,92.57935674,94.59743536,48.0334728,95.10562644,44.6853294,74.83207389,4.331450094,99.15913391,75.47288777,58.4972792,40.25104603,0,74.97881356,87.37437186
36001000300,Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,6147,2362,88.0728,0,94.7466,104.1732103,84.6567,81.7535,40.53048907,63.64272125,48.50102669,31.35435993,89.00919305,77.42611612,40.93023256,89.2075632,56.21230398,0,0,0,0,93.2357187,57.41839763,74.7311828,27.68218623,3.531598513,51.16042345,18.4119208,39.98589563,49.65956512,78.1458426,84.08013787,69.28492034,54.04435058,20.66176471,35.71029083,80.15906237,80.51078082,55.10460251,93.774152,95.31019979,87.38700862,80.07147362,81.46443515,89.56285296,33.84550621,50.27287993,50.01046244,8.787050662,55.52753258,58.4972792,56.92468619,0,80.16949153,70.47738693
36001000401,Not Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,2362,997,44.9048,0,64.5678,78.21059526,70.823,36.1582,36.38917004,41.82142521,42.75154004,29.49907236,98.59039837,65.29029554,53.34525939,67.72891438,0,93.93939394,0,0,0,27.69643225,57.41839763,0,43.31983806,0,48.83957655,35.98693611,16.99576869,35.58093565,38.68385949,53.05902628,,26.25131996,26.98529412,30.73266219,42.23524487,40.38099225,22.32217573,10.19750966,16.25657203,87.38700862,80.07147362,98.41004184,89.56285296,33.84550621,57.87153652,99.72797656,8.787050662,54.81294662,6.320636249,1.046025105,0,78.62288136,44.13735343
36001000403,Not Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,4253,2186,42.2264,0,61.8107,76.6839839,23.6973,55.0952,26.98538521,49.69859868,46.71457906,31.33374562,51.66496425,71.62020541,0,58.4661143,0,0,0,0,0,79.10909466,0,0,1.872469636,0,51.16042345,57.46070627,0,46.67252361,66.8741663,63.37785437,17.93256762,31.74234424,56.05392157,84.64765101,63.83424027,49.068453,11.75732218,8.265349936,59.66351209,63.40130334,59.26003784,48.64016736,72.89270027,35.61355504,34.86565911,65.43209877,62.49737229,55.08617066,25.76391796,83.26359833,0,68.47457627,54.56448911
36001000404,Not Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,Yes,5082,15,0,0,0,,42.0802,0,30.73548889,,47.98767967,32.2613894,89.7854954,71.53636554,0,,0,0,0,0,0,47.16436379,0,0,28.84615385,0,51.16042345,17.73831394,59.80253879,48.64924226,,,,,,,,,,,,,,,,,,,,,,,,,
36001000501,Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3523,1433,70.3704,0,83.9791,90.92610102,22.3325,82.7579,26.62366086,64.30244016,47.24845996,30.57101629,39.71399387,65.77237476,0,72.63649883,0,0,0,0,0,91.93648175,57.41839763,0,0,0,51.16042345,17.88120024,0,66.46167362,26.41173855,84.18785006,15.89477584,73.49524815,71.17647059,51.9295302,91.39807451,92.00334938,69.45606695,94.20352082,73.12302839,63.40130334,59.26003784,51.52719665,72.89270027,35.61355504,68.66078925,15.88198368,62.49737229,87.87305591,58.4972792,48.05439331,0,63.6440678,84.94556114
36001000502,Not Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3785,942,38.439,0,57.4516,74.59084936,12.4897,57.2714,24.00677952,50.58406984,47.33059548,31.00391672,35.81205312,54.72647244,0,59.67707669,0,0,0,0,0,90.4310167,57.41839763,0,0,0,51.16042345,19.02429067,0,47.39732045,74.43308137,71.49935373,21.23008522,50.05279831,43.30882353,31.54362416,69.69443282,80.67824995,9.874476987,59.14555603,84.75289169,57.9987387,75.15240698,27.88702929,73.29010667,17.63839192,37.74139379,1.025319104,55.30796721,24.42202606,25.76391796,77.94979079,0,57.09745763,69.45142379
36001000600,Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3663,1408,87.8217,0,94.6349,103.8079268,33.0232,95.7732,29.03625828,74.77166848,48.23408624,30.77715935,35.95505618,63.52965835,48.15742397,89.1650733,0,0,0,0,0,94.53495566,0,0,0,0,51.16042345,26.22984283,0,73.8194597,83.32592263,80.93494184,73.21230085,58.47940866,53.06372549,46.28076063,92.69568857,99.16265439,80.41841004,86.6680979,97.56046267,94.99684675,93.98780744,60.92050209,84.77306003,70.82719427,73.69857263,0.774220548,99.64263191,32.09331652,82.52406865,69.87447699,35.73792191,90.29661017,92.5041876
36001000700,Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3885,1485,96.6939,0,98.4724,114.4292041,79.3424,96.8403,38.69957697,75.72962716,49.19917864,30.67408782,74.79060266,50.53447914,56.27906977,93.8602082,44.57177322,0,0,0,0,95.85481543,0,0,38.66396761,11.71003717,51.16042345,31.1288018,46.82651622,49.92312761,14.89550912,94.87289961,100,47.58183738,34.73039216,85.82214765,96.35830892,92.04521666,83.76569038,96.99441821,98.23343849,94.99684675,93.98780744,96.31799163,84.77306003,70.82719427,66.26784215,25.75852689,99.64263191,77.72173182,58.4972792,88.80753138,0,86.65254237,79.0201005
36001000800,Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,2192,842,95.5639,0,97.9881,111.9023772,48.7593,99.5815,31.87484924,80.02752797,50.08213552,30.11750155,36.83350358,74.09348145,57.71019678,95.26237519,64.53558504,0,0,0,0,96.24664879,0,0,0,0,51.16042345,22.78015922,0,73.90731386,33.21476212,94.65747523,100,71.44667371,53.23529412,99.13310962,95.43742152,94.64098807,94.47698745,99.29154143,99.76866456,94.99684675,93.98780744,97.21757322,84.77306003,70.82719427,65.0713686,17.99539653,99.64263191,94.28331232,82.52406865,88.11715481,0,58.11440678,88.44221106
36001001100,Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,1573,893,98.6817,0,99.5902,120.4732739,97.2084,89.8933,50.7964733,69.67680059,50.4312115,29.76705834,74.54545455,85.01362398,66.72629696,85.29849161,27.56332931,0,45.18518519,0,0,97.75211384,78.70919881,0,4.048582996,72.95539033,51.16042345,24.41314554,91.325811,70.26136613,52.73454869,81.45196036,100,46.52587117,38.30882353,88.78635347,95.89786522,96.10634289,69.39330544,26.06268785,50.74658254,92.57935674,94.59743536,99.0376569,95.10562644,44.6853294,81.50713686,76.2084118,99.15913391,98.44472467,25.76391796,47.61506276,0,39.49152542,92.46231156
36001001400,Not Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,3855,2816,37.7066,0,56.4456,74.23548067,36.9934,42.4147,29.79079444,44.44468622,49.60985626,29.9525871,36.56792646,68.53909034,59.10554562,50.43552156,0,0,0,0,0,96.22602598,0,0,58.14777328,0,51.16042345,3.347621964,0,49.68152866,49.02178746,71.84403274,62.35642831,37.36008448,11.25,0,76.07785684,57.04416998,10.56485356,17.88321168,6.645636172,64.22114778,89.0266975,50.39748954,26.54256432,31.04609556,36.52392947,41.05461394,67.6056338,43.44262295,6.320636249,90.08368201,0,16.88559322,91.05946399
36001001500,Not Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,4775,2254,44.005,0,63.8599,77.61966727,11.3317,65.2019,23.60646194,54.01320533,47.53593429,29.89074418,20.69458631,42.94697128,41.43112701,85.29849161,0,0,0,0,0,93.95751701,0,0,0,0,51.16042345,8.593590529,0,54.27190863,70.20898177,62.55924171,26.97295295,35.01583949,48.08823529,16.27516779,88.71912934,88.00502407,15.83682008,29.0468012,21.55625657,64.22114778,89.0266975,64.60251046,26.54256432,31.04609556,57.0109152,4.226825696,67.6056338,78.18411097,25.76391796,68.55648536,30.37723362,75.38135593,87.41624791
36001001600,Not Designated as DAC,Capital Region,Albany,Albany city,Rest of State,urban,No,No,4151,1896,35.6351,0,53.614,73.11908833,8.9537,56.9366,22.69636552,50.42272282,46.8788501,30.48855906,18.30439224,36.00922239,34.16815742,61.35542809,0,0,0,0,0,91.73025366,0,0,0,0,51.16042345,21.37170851,0,49.28618493,66.56291685,63.72253339,19.78510559,28.02534319,11.05392157,16.49888143,79.71954793,85.47205359,11.08786611,66.85272649,68.41219769,57.9987387,75.15240698,44.0167364,73.29010667,17.63839192,28.94626364,5.482318477,55.30796721,37.36864229,25.76391796,83.84937238,0,87.77542373,75.33500838
