variable,estimate,se,zvalue,pvalue,ci_low,ci_high,oddRatio,name_short,EJ_category,name_long,tool
(Intercept),-8.31086090543056,0.107579662442973,-77.253085915157,0,-8.52460567903952,-8.10285623956075,0.000245832313861627,,,,CEJST
Abandoned_Mine,1.34599436486955,0.16142641841678,8.33812939710021,7.54749576060025e-17,1.02888197157099,1.66129849829547,3.84200499661334,Abandoned Mine,Legacy Pollution,"Is there at least one abandoned mine in this census tract, where missing data is treated as False?",CEJST
Ag_Loss_Rate,1.06346356898574,0.105732293543982,10.0580771809642,8.46351748550775e-24,0.856673035420385,1.27110121159812,2.89638546721393,Agricultural Loss,Climate Change,Expected agriculture loss rate >=  90th percentile,CEJST
Asthma,1.10049595735938,0.11930163770746,9.224483238511,2.84931467191424e-20,0.868221178508335,1.33584695706932,3.00565633172882,Asthma,Health,Asthma >= 90th percentile,CEJST
Bld_Loss_Rate,0.856528942890959,0.0899593903277806,9.52128443478849,1.71051617381278e-21,0.680774448278233,1.03342206883348,2.3549722474837,Building Loss,Climate Change,Expected building loss rate >= 90th percentile,CEJST
DOT_Travel_Barrier,1.46761028554592,0.0886032215256047,16.5638479084173,1.27193055405922e-61,1.29482158880539,1.64215450572335,4.33885411976055,Travel Barrier,Transportation,DOT Travel Barriers Score >= 90th percentile,CEJST
Diabetes,1.24129555712284,0.157929848583594,7.8597907124935,3.84775808905859e-15,0.935849316112321,1.55464691307634,3.46009331072228,Diabetes,Health,Diabetes >= 90th percentile,CEJST
Diesel_PM,0.247417682980645,0.0986640581521935,2.50767794893448,0.0121527372893167,0.0544098740522628,0.441173271486148,1.28071393349083,Diesel PM,Transportation,Diesel particulate matter >= 90th percentile,CEJST
Energy_Burden,1.35519911080974,0.103299543622248,13.1191200201766,2.55888954129289e-39,1.15359948250447,1.55852569980957,3.87753293849882,Energy Burden,Energy,Energy cost >= 90th percentile,CEJST
FUDS,0.786527151240804,0.144484283183232,5.44368656515634,5.21890182501516e-08,0.503068364962072,1.06922358102803,2.19575763557079,FUDS,Legacy Pollution,"Is there at least one Formerly Used Defense Site (FUDS) in the tract, where missing data is treated as False?",CEJST
Fire_30Years,1.22231841120384,0.0888447842915048,13.7579084799547,4.56544414760937e-43,1.04876164747067,1.39703738117516,3.39504973777017,Fire Risk,Climate Change,Projected wildfire risk >= 90th percentile,CEJST
Flood_30Years,0.521988498838195,0.0810736432204071,6.43844877451868,1.20700681568909e-10,0.363375033384431,0.681188090460112,1.68537568740746,Flood Risk,Climate Change,Projected flood risk >= 90th percentile,CEJST
HS_education,2.24651737603229,0.054058388982025,41.5572387253213,0,2.14102328848065,2.35294671834954,9.45475109020772,High School Education,Socioeconomic Burden,High school education < 10 percent,CEJST
Hazard_Waste_Sites,-0.366862240831455,0.09774446597349,-3.75327889080651,0.000174536486439802,-0.558511444798129,-0.175330827622626,0.692905092499283,Hazard Waste Sites,Legacy Pollution,Proximity to hazardous waste sites >= 90th percentile,CEJST
Heart_Disease,1.96530968478597,0.107388781204869,18.3008845312872,8.14162762126194e-75,1.75621945811094,2.1771372480614,7.1371225062079,Heart Disease,Health,Coronary heart disease >= 90th percentile,CEJST
Historic_Underinvest,0.699695465646149,0.134206531454462,5.21357238029481,1.85238205136343e-07,0.437307145691868,0.963290541387535,2.01313954396031,Historical Underinvestment,Housing,Tract experienced historic underinvestment,CEJST
House_pre1960_Lead,1.45802139380897,0.0919200999114225,15.8618343018988,1.16442618646787e-56,1.27869346554987,1.63903752374856,4.29744815327055,Lead Paint,Housing,Percent pre-1960s housing (lead paint indicator) >= 90th percentile,CEJST
Housing_Burden,0.617531442693833,0.107744773000892,5.7314283142879,9.95884367539119e-09,0.407984368663168,0.830367183783034,1.85434483073406,Housing Burden,Housing,Housing cost >= 90th percentile,CEJST
Lack_Green_Space,0.253091387865507,0.0964624818329732,2.62372876020068,0.00869730172716992,0.0644791165001872,0.442608214128,1.28800097911652,Green Space,Housing,Lack of green space >= 90th percentile,CEJST
Lack_Plumbing,0.864671311397253,0.0874333238768074,9.88949376573588,4.62360030385198e-23,0.693786739594855,1.03651225806767,2.37422557682445,Indoor Plumbing,Housing,Lack of indoor plumbing >= 90th percentile,CEJST
Leaky_Tanks,0.541911172715942,0.0898807414547967,6.02922454737962,1.64748252203039e-09,0.366310980778676,0.718649321208229,1.71928958360484,Leaky Tanks,Waste and Wastewater,Leaky underground storage tanks >= 90th percentile,CEJST
Linguistic_isolation,6.48320347844738,0.101553437435567,63.8403154256673,0,6.28615100155461,6.68428103812116,654.062870073285,Linguistic Isolation,Workforce Development,Linguistic isolation >= 90th percentile,CEJST
Low_Life_Expectancy,1.7247315500339,0.113817767299686,15.1534474006384,7.18943724243604e-52,1.50294875004594,1.94902223566905,5.61101455082912,Low Life Expectancy,Health,Low life expectancy >= 90th percentile,CEJST
Low_Median_HH_Income,2.09163349910177,0.16579078033823,12.6161026254574,1.72131457993068e-36,1.7691573864561,2.41880922763878,8.09813265840718,Low Household Income,Workforce Development,Low median household income >= 90th percentile,CEJST
PM25,0.630122198648119,0.0923605169351702,6.82241957448565,8.9519749573918e-12,0.449447034624832,0.811499384321373,1.87784003475811,PM2.5,Energy,PM 2.5 in the air >= 90th percentile,CEJST
Pop_Loss_Rate,1.20199595237773,0.0885087714536177,13.5805291683167,5.22475932652831e-42,1.0290252304402,1.37598419822867,3.3267503357889,Population Loss,Climate Change,Expected population loss rate >= 90th percentile,CEJST
Poverty,0.946414171955092,0.154754538054093,6.11558267599418,9.62047889865969e-10,0.645476376461973,1.25199621087195,2.57645435298916,Poverty (below 100% FPL),Workforce Development,Poverty >= 90th percentile,CEJST
RMP_Sites,1.10820144956945,0.0898478713674019,12.3341981585501,5.9276064846482e-35,0.932879510678044,1.2850843129335,3.02890585264444,RMP Sites,Legacy Pollution,Proximity to Risk Management Plan (RMP) facilities >= 90th percentile,CEJST
Superfund_Sites,0.907454337012628,0.0876816075696286,10.3494263183075,4.21000852064811e-25,0.736178112625132,1.07989416773188,2.47800632833855,Superfund Sites,Legacy Pollution,Proximity to NPL (Superfund) sites >= 90th percentile,CEJST
Traffic_Proximity_Volume,0.376791438668932,0.0891896813645994,4.2246079692632,2.39357077549401e-05,0.202268400485148,0.551900808168344,1.45760027861353,Traffic,Transportation,Traffic proximity and volume >= 90th percentile,CEJST
Unemployment,4.3909132425056,0.106680260806012,41.1595660652731,0,4.18275196919136,4.600990737484,80.7140968765315,Unemployment,Workforce Development,Unemployment >= 90th percentile,CEJST
Wastewater_Discharge,0.63241850300674,0.0963745807488415,6.56208824041335,5.30593995187034e-11,0.443862220431569,0.821630376161309,1.88215708174464,Wastewater Discharge,Waste and Wastewater,Wastewater discharge >= 90th percentile,CEJST
