variable,estimate,se,tvalue,pvalue,ci_low,ci_high,name_short,EJ_category,name_long,tool
(Intercept),-89.721175495011,0.191432224069843,-468.683764872713,0,-90.0963757596669,-89.3459752303512,,,,DOE
avg_energy_burden,0.0899639841111689,0.00106884696001506,84.1691911720473,0,0.0878690825645521,0.0920588856577813,Energy Burden,Energy Burden,Energy Burden compare to income,DOE
avg_housing_burden,0.0801666527264851,0.000800571954343307,100.136723865432,0,0.0785975605289395,0.0817357449240324,Housing Costs,Vulnerable Population,Housing Costs ,DOE
avg_transport_burden,0.0722530743548801,0.0013831619294579,52.2376106629816,0,0.0695421267883528,0.0749640219214074,Transportation Costs,Energy Burden,Transportation Costs,DOE
coal_emp_rank,0.0857235427168859,0.00137088517881504,62.5315263755226,0,0.083036657139465,0.0884104282943056,Coal Employment,Fossil Dependence,Coal employmentb ,DOE
disability_pct,0.0906118573413558,0.00108477566185532,83.5305036124984,0,0.0884857361128112,0.0927379785698977,Disabled Population,Vulnerable Population,Disabled population,DOE
ej_cancer,0.105070850471463,0.00106254683295598,98.8858535102483,0,0.102988296946982,0.107153403995946,Cancer Risk,Environment and Climate,Cancer Risk,DOE
ej_diesel,0.074482624458791,0.00154209832785471,48.2995300062401,0,0.071460167275576,0.0775050816420061,Diesel,Environment and Climate,Diesel,DOE
ej_npl,0.083555820863083,0.000825294012356054,101.243701774289,0,0.0819382743222054,0.0851733674039589,Superfund Sites,Environment and Climate,NPL Proximity ,DOE
ej_pm25,0.0773674182899634,0.000898440784611916,86.1129855356939,0,0.0756065067098804,0.0791283298700448,PM2.5,Environment and Climate,PM25 ,DOE
ej_remediation,0.0810195839301753,0.000886947813808173,91.3465061515988,0,0.0792811981589408,0.0827579697014058,RMP Sites,Environment and Climate,RMP Proximity ,DOE
ej_traffic,0.0766121782533608,0.00115478248895755,66.3433841316045,0,0.074348846165024,0.0788755103416975,Traffic,Environment and Climate,Traffic Proximity ,DOE
ej_tsdf,0.0911401274899645,0.00119157151315837,76.4873333102681,0,0.0888046902391709,0.0934755647407592,TSD facilities,Environment and Climate,TSDF Proximity ,DOE
ej_water,0.0827249470308859,0.000605621118048622,136.595215334358,0,0.0815379514512339,0.0839119426105398,Water Discharge,Environment and Climate,Water Discharge ,DOE
fema_loss_of_life,0.0718326613807712,0.000827131514162203,86.8455138642977,0,0.0702115134025331,0.0734538093590091,Loss of Life,Environment and Climate,Climate Hazards Loss of Life estimates ,DOE
food_desert_pct,0.0751857472365339,0.00149360457283226,50.3384554413637,0,0.072258336066639,0.0781131584064329,Food Desert,Vulnerable Population,Food Desert ,DOE
fossil_emp_rank,0.0897987721370959,0.00138425917443678,64.8713577597437,0,0.0870856740099246,0.0925118702642636,Fossil Energy Employment,Fossil Dependence,Fossil energy employment,DOE
green_space,0.0867770760278305,0.00137179691262782,63.2579613126554,0,0.0840884034849714,0.0894657485706792,Green Space,Vulnerable Population,Parks,DOE
grid_outage_duration,0.108155717751577,0.00226744002506277,47.6994833627775,0,0.103711616965344,0.11259981853781,Power Outage Duration,Energy Burden,Outage Duration,DOE
grid_outages_county,0.0567448010202771,0.00239745120983433,23.6688032638622,2.24732101004846e-123,0.0520458829943148,0.0614437190462547,Power Outage Events,Energy Burden,Outage Events,DOE
incomplete_plumbing_pct,0.0837635974643707,0.000512093874154205,163.570785928104,0,0.0827599119143238,0.0847672830144165,Plumbing,Vulnerable Population,Incomplete Plumbing ,DOE
job_access,0.0985824003564272,0.00126264930472012,78.0758362499388,0,0.0961076531940716,0.101057147518786,Job Access,Vulnerable Population,Job Access,DOE
lead_paint_pct,0.0781371079426124,0.000951950811705382,82.0810350512048,0,0.076271318636612,0.0800028972486084,Lead Paint,Environment and Climate,Homes Built Before 1960,DOE
lessHS_pct,0.116036021279643,0.00128589350586852,90.2376602339786,0,0.113515716320195,0.11855632623911,High School Education,Vulnerable Population,Less HS Education ,DOE
linguistic_isolation_pct,0.080376428620616,0.0007978681120848,100.738991072842,0,0.0788126358565169,0.081940221384717,Linguistic Isolation,Vulnerable Population,Linguistic Isolation,DOE
lowincome_fpl_pct,0.0807420375697632,0.00173936430537359,46.4204291880193,0,0.077332946175233,0.0841511289642897,Low Income (below 200% FPL),Vulnerable Population,Low Income Population ,DOE
mobile_home_pct,0.0804439713804974,0.000730809450649551,110.075165707009,0,0.0790116111776612,0.0818763315833308,Mobile Home,Vulnerable Population,Mobile Home ,DOE
